equiv_group_id,course_code,relation_type,scope_program_id,notes
LEVEL_ENGL4220_ENGL5220,ENGL 4220,equivalent,,"same title, different level"
LEVEL_ENGL4220_ENGL5220,ENGL 5220,equivalent,,"same title, different level"
LEVEL_ENGL4230_ENGL5230,ENGL 4230,equivalent,,"same title, different level"
LEVEL_ENGL4230_ENGL5230,ENGL 5230,equivalent,,"same title, different level"
LEVEL_ENGL4250_ENGL5250,ENGL 4250,equivalent,,"same title, different level"
LEVEL_ENGL4250_ENGL5250,ENGL 5250,equivalent,,"same title, different level"
LEVEL_ENGL4260_ENGL5260,ENGL 4260,equivalent,,"same title, different level"
LEVEL_ENGL4260_ENGL5260,ENGL 5260,equivalent,,"same title, different level"
LEVEL_ENGL4303_ENGL5303,ENGL 4303,equivalent,,"same title, different level"
LEVEL_ENGL4303_ENGL5303,ENGL 5303,equivalent,,"same title, different level"
LEVEL_ENGL4311_ENGL5311,ENGL 4311,equivalent,,"same title, different level"
LEVEL_ENGL4311_ENGL5311,ENGL 5311,equivalent,,"same title, different level"
LEVEL_ENGL4402_ENGL5402,ENGL 4402,equivalent,,"same title, different level"
LEVEL_ENGL4402_ENGL5402,ENGL 5402,equivalent,,"same title, different level"
LEVEL_ENGL4412_ENGL5412,ENGL 4412,equivalent,,"same title, different level"
LEVEL_ENGL4412_ENGL5412,ENGL 5412,equivalent,,"same title, different level"
LEVEL_ENGL4422_ENGL5422,ENGL 4422,equivalent,,"same title, different level"
LEVEL_ENGL4422_ENGL5422,ENGL 5422,equivalent,,"same title, different level"
LEVEL_ENGL4423_ENGL5423,ENGL 4423,equivalent,,"same title, different level"
LEVEL_ENGL4423_ENGL5423,ENGL 5423,equivalent,,"same title, different level"
LEVEL_ENGL4472_ENGL5472,ENGL 4472,equivalent,,"same title, different level"
LEVEL_ENGL4472_ENGL5472,ENGL 5472,equivalent,,"same title, different level"
LEVEL_ENGL4612_ENGL5612,ENGL 4612,equivalent,,"same title, different level"
LEVEL_ENGL4612_ENGL5612,ENGL 5612,equivalent,,"same title, different level"
LEVEL_ENGL4616_ENGL5616,ENGL 4616,equivalent,,"same title, different level"
LEVEL_ENGL4616_ENGL5616,ENGL 5616,equivalent,,"same title, different level"
LEVEL_ENGL4715_ENGL5715,ENGL 4715,equivalent,,"same title, different level"
LEVEL_ENGL4715_ENGL5715,ENGL 5715,equivalent,,"same title, different level"
LEVEL_ENGL4716_ENGL5716,ENGL 4716,equivalent,,"same title, different level"
LEVEL_ENGL4716_ENGL5716,ENGL 5716,equivalent,,"same title, different level"
LEVEL_ENGL4717_ENGL5717,ENGL 4717,equivalent,,"same title, different level"
LEVEL_ENGL4717_ENGL5717,ENGL 5717,equivalent,,"same title, different level"
LEVEL_ENGL4746_ENGL5746,ENGL 4746,equivalent,,"same title, different level"
LEVEL_ENGL4746_ENGL5746,ENGL 5746,equivalent,,"same title, different level"
LEVEL_ENGL4755_ENGL5755,ENGL 4755,equivalent,,"same title, different level"
LEVEL_ENGL4755_ENGL5755,ENGL 5755,equivalent,,"same title, different level"
LEVEL_ENGL4820_ENGL5820,ENGL 4820,equivalent,,"same title, different level"
LEVEL_ENGL4820_ENGL5820,ENGL 5820,equivalent,,"same title, different level"
LEVEL_ENGL4825_ENGL5825,ENGL 4825,equivalent,,"same title, different level"
LEVEL_ENGL4825_ENGL5825,ENGL 5825,equivalent,,"same title, different level"
LEVEL_ENGL4830_ENGL5830,ENGL 4830,equivalent,,"same title, different level"
LEVEL_ENGL4830_ENGL5830,ENGL 5830,equivalent,,"same title, different level"
LEVEL_ENGL4840_ENGL5840,ENGL 4840,equivalent,,"same title, different level"
LEVEL_ENGL4840_ENGL5840,ENGL 5840,equivalent,,"same title, different level"
LEVEL_ENGL4932_ENGL5932,ENGL 4932,equivalent,,"same title, different level"
LEVEL_ENGL4932_ENGL5932,ENGL 5932,equivalent,,"same title, different level"
LEVEL_ENGL4954_ENGL5954,ENGL 4954,equivalent,,"same title, different level"
LEVEL_ENGL4954_ENGL5954,ENGL 5954,equivalent,,"same title, different level"
LEVEL_ENGL4988_ENGL5988,ENGL 4988,equivalent,,"same title, different level"
LEVEL_ENGL4988_ENGL5988,ENGL 5988,equivalent,,"same title, different level"
LEVEL_ENGL4997_ENGL5997,ENGL 4997,equivalent,,"same title, different level"
LEVEL_ENGL4997_ENGL5997,ENGL 5997,equivalent,,"same title, different level"
LEVEL_EXPH4187_EXPH5187,EXPH 4187,equivalent,,"same title, different level"
LEVEL_EXPH4187_EXPH5187,EXPH 5187,equivalent,,"same title, different level"
LEVEL_EXPH4189_EXPH7189,EXPH 4189,equivalent,,"same title, different level"
LEVEL_EXPH4189_EXPH7189,EXPH 7189,equivalent,,"same title, different level"
LEVEL_FINA4001_FINA5001,FINA 4001,equivalent,,"same title, different level"
LEVEL_FINA4001_FINA5001,FINA 5001,equivalent,,"same title, different level"
LEVEL_FINA4002_FINA5002,FINA 4002,equivalent,,"same title, different level"
LEVEL_FINA4002_FINA5002,FINA 5002,equivalent,,"same title, different level"
LEVEL_FINA4011_FINA5011,FINA 4011,equivalent,,"same title, different level"
LEVEL_FINA4011_FINA5011,FINA 5011,equivalent,,"same title, different level"
LEVEL_FINA4023_FINA5023,FINA 4023,equivalent,,"same title, different level"
LEVEL_FINA4023_FINA5023,FINA 5023,equivalent,,"same title, different level"
LEVEL_FINA4040_FINA5040,FINA 4040,equivalent,,"same title, different level"
