parent_bucket_id,child_bucket_id,course_code,notes
OSCM_MAJOR,oscm-choose-1,OSCM 4085,
OSCM_MAJOR,oscm-choose-1,OSCM 4931,
OSCM_MAJOR,oscm-req-core,OSCM 4997,
MCC_FOUNDATION,MCC_CORE,PHIL 1001,
BCC_CORE,BCC_ETHICS,PHIL 4330,
INBU_MAJOR,inbu-exp-global-1,POSC 4406,
INBU_MAJOR,inbu-exp-global-1,POSC 4501,
INBU_MAJOR,inbu-exp-global-1,POSC 4511,
INBU_MAJOR,inbu-exp-global-1,POSC 4521,
INBU_MAJOR,inbu-exp-global-1,POSC 4541,
INBU_MAJOR,inbu-exp-global-1,POSC 4601,
INBU_MAJOR,inbu-exp-global-1,POSC 4611,
INBU_MAJOR,inbu-exp-global-1,POSC 4621,
INBU_MAJOR,inbu-exp-global-1,POSC 4661,
INBU_MAJOR,inbu-exp-global-1,POSC 4731,
AIM_MAJOR,aim-choose-1,REAL 3001,
BCC_CORE,BCC_ENHANCE,REAL 3001,
CB_TRACK,commbank-req-core,REAL 3001,
REAL_MAJOR,real-req-core,REAL 3001,
REAL_REAP_TRACK,reap-foundation-req,REAL 3001,
BCC_CORE,BCC_ANALYTICS,REAL 4061,
CB_TRACK,commbank-choose-2,REAL 4061,
CB_TRACK,commbank-req-core,REAL 4061,
REAL_MAJOR,real-req-core,REAL 4061,
REAL_REAP_TRACK,reap-model-dev-choose-1,REAL 4061,
CB_TRACK,commbank-choose-2,REAL 4100,
REAL_MAJOR,real-req-core,REAL 4100,
REAL_REAP_TRACK,reap-model-dev-choose-1,REAL 4100,
REAL_MAJOR,real-req-core,REAL 4120,
BCC_CORE,BCC_ANALYTICS,REAL 4210,
REAL_REAP_TRACK,reap-applied-req,REAL 4210,
REAL_REAP_TRACK,reap-applied-req,REAL 4220,
REAL_REAP_TRACK,reap-applied-req,REAL 4230,
REAL_MAJOR,real-choose-1,REAL 4330,
REAL_MAJOR,real-choose-1,REAL 4931,
REAL_MAJOR,real-choose-1,REAL 4986,
REAL_MAJOR,real-choose-1,REAL 4989,
MCC_FOUNDATION,MCC_ESSV1,SOCI 1001,
MCC_FOUNDATION,MCC_ESSV1,SOCI 1101,
MCC_FOUNDATION,MCC_ESSV1,SOWJ 1001,
MCC_FOUNDATION,MCC_ESSV1,SOWJ 1101,
INBU_MAJOR,inbu-exp-global-1,SPAN 3300,
MCC_FOUNDATION,MCC_ESSV1,SPAN 3300,
INBU_MAJOR,inbu-exp-global-1,SPAN 3310,
MCC_FOUNDATION,MCC_ESSV1,SPAN 3310,
INBU_MAJOR,inbu-exp-global-1,SPAN 4320,
INBU_MAJOR,inbu-exp-global-1,SPAN 4450,
MCC_FOUNDATION,MCC_ESSV1,THAR 2020,
MCC_FOUNDATION,MCC_CORE,THEO 1001,
MCC_ESSV2,MCC_ESSV2,ADPR 4750,
MCC_ESSV2,MCC_ESSV2,ADVE 3986,
MCC_ESSV2,MCC_ESSV2,ANTH 3100,
MCC_ESSV2,MCC_ESSV2,ANTH 3986,
MCC_ESSV2,MCC_ESSV2,ANTH 4986,
MCC_ESSV2,MCC_ESSV2,ARBC 3200,
MCC_ESSV2,MCC_ESSV2,ARBC 3220,
MCC_ESSV2,MCC_ESSV2,ARBC 3800,
MCC_ESSV2,MCC_ESSV2,ARSC 4953,
MCC_ESSV2,MCC_ESSV2,BIOL 4987,
MCC_ESSV2,MCC_ESSV2,BISC 3929,
MCC_ESSV2,MCC_ESSV2,BISC 4460,
MCC_ESSV2,MCC_ESSV2,BULA 4001,
MCC_ESSV2,MCC_ESSV2,CCOM 4986,
MCC_ESSV2,MCC_ESSV2,CHNS 3215,
MCC_ESSV2,MCC_ESSV2,CHNS 3700,
MCC_ESSV2,MCC_ESSV2,CMST 3120,
MCC_ESSV2,MCC_ESSV2,CMST 4986,
MCC_ESSV2,MCC_ESSV2,CNEN 3860,
MCC_ESSV2,MCC_ESSV2,COMM 4986,
MCC_ESSV2,MCC_ESSV2,CRLS 2540,
MCC_ESSV2,MCC_ESSV2,CRLS 3150,
MCC_ESSV2,MCC_ESSV2,CRLS 3170,
MCC_ESSV2,MCC_ESSV2,CRLS 3986,
MCC_ESSV2,MCC_ESSV2,CRLS 4986,
MCC_ESSV2,MCC_ESSV2,DGMD 3986,
MCC_ESSV2,MCC_ESSV2,ECONI 3040,
MCC_ESSV2,MCC_ESSV2,EDUC 4965,
MCC_ESSV2,MCC_ESSV2,EDUC 4966,
MCC_ESSV2,MCC_ESSV2,EDUC 4969,
MCC_ESSV2,MCC_ESSV2,EDUC 4970,
MCC_ESSV2,MCC_ESSV2,EDUC 4986,
MCC_ESSV2,MCC_ESSV2,EDUC 4987,
MCC_ESSV2,MCC_ESSV2,ENGL 2001,
MCC_ESSV2,MCC_ESSV2,ENGL 3140,
MCC_ESSV2,MCC_ESSV2,ENGL 3223,
MCC_ESSV2,MCC_ESSV2,ENGL 3224,
MCC_ESSV2,MCC_ESSV2,ENGL 3249,
MCC_ESSV2,MCC_ESSV2,ENGL 3250,
MCC_ESSV2,MCC_ESSV2,ENGL 3261,
MCC_ESSV2,MCC_ESSV2,ENGL 3453,
MCC_ESSV2,MCC_ESSV2,ENGL 3515,
