id,course_1,course_2,course_3,type,parent_bucket,child_bucket
253,INCG 2010,PHIL 2010,,cross_listed,,
254,THEO 8415,THEO 8417,,cross_listed,,
255,THEO 8417,THEO 8418,,cross_listed,,
256,THEO 8418,THEO 8419,,cross_listed,,
257,ACCO 4000,ACCO 6001,,no_double_count,,
258,BISC 1035,BISC 3135,,no_double_count,,
259,BISC 3110,HEAL 2045,,no_double_count,,
260,BISC 4112,BISC 4113,,no_double_count,,
261,BISC 4113,BISC 5112,,no_double_count,,
262,CRLS 3050,SOCI 3050,,no_double_count,,
263,MATH 2100,MATH 2350,,no_double_count,,
264,MATH 4710,MATH 4720,,no_double_count,,
265,THEO 8415,THEO 8417,,no_double_count,,
266,THEO 8417,THEO 8418,,no_double_count,,
267,THEO 8418,THEO 8419,,no_double_count,,
268,MATH 1400,MATH 1450,,equivalent,,
269,CMST 2300,COMM 1100,,equivalent,,
270,INSY 3001,ACCO 4050,,equivalent,ACCO_MAJOR,
271,HURE 4140,FINA 5040,,equivalent,INBU_MAJOR,
272,ACCO 4080,FINA 4075,,equivalent,AIM_MAJOR,
273,AIM 4310,AIM 4400,FINA 4210,equivalent,AIM_IB_TRACK,
274,FINA 4081,FINA 4023,FINA 4191,equivalent,AIM_IB_TRACK,
275,BUAN 4061,INSY 4054,,equivalent,BUAN_MAJOR,
276,FINA 4020,FINA 3020,,equivalent,,
277,MATH 1451,MATH 1455,,equivalent,DS_MAJOR,
278,MATH 2100,MATH 2350,,equivalent,DS_MAJOR,
279,COSC 3570,MATH 3570,,equivalent,DS_MAJOR,
280,MATH 4740,MATH 4720,,equivalent,DS_MAJOR,
281,COSC 3570,MATH 3570,,no_double_count,,
282,MATH 4720,MATH 4740,,no_double_count,,
