course_code,soft_prereq,catalog_prereq_raw,soft_prereq_major_restriction,soft_prereq_instructor_consent,soft_prereq_admitted_program,soft_prereq_college_restriction,soft_prereq_program_progress_requirement,soft_prereq_standing_requirement,soft_prereq_placement_required,soft_prereq_minimum_grade,soft_prereq_minimum_gpa,soft_prereq_may_be_concurrent,soft_prereq_other_requirements,soft_prereq_complex_hard_prereq,notes
AIM 4986,instructor_consent,Cons. of prog. dir. and cons. of Business Career Center. Consent required,,Cons. of prog. dir. and cons. of Business Career Center; Consent required,,,,,,,,,,,Cons. of prog. dir. and cons. of Business Career Center. Consent required
AIM 4989,major_restriction;instructor_consent,AIM major; cons. of prog. dir. and cons. of Business Career Center. Consent required,AIM major,cons. of prog. dir. and cons. of Business Career Center; Consent required,,,,,,,,,,,AIM major; cons. of prog. dir. and cons. of Business Career Center. Consent required
AIM 4995,instructor_consent,Cons. of dept. ch. Consent required,,Cons. of dept. ch; Consent required,,,,,,,,,,,Cons. of dept. ch. Consent required
AIM 4996,major_restriction;instructor_consent,AIM major or cons. of instr.,AIM major or cons. of instr,AIM major or cons. of instr,,,,,,,,,,,AIM major or cons. of instr.
ANSH 1001,other_requirements,No previous study of Anishinaabemowin.,,,,,,,,,,,No previous study of Anishinaabemowin,,
ANSH 1002,placement_required,ANSH 1001; or ANSH 1002 placement.,,,,,,,or ANSH 1002 placement,,,,,,ANSH 1001; or ANSH 1002 placement.
ANTH 1001,,,,,,,,,,,,,,,
ANTH 1201,,,,,,,,,,,,,,,
ANTH 2101,,,,,,,,,,,,,,,
ANTH 2201,,,,,,,,,,,,,,,
ANTH 2203,,,,,,,,,,,,,,,
ANTH 2301,,,,,,,,,,,,,,,
ANTH 2401,,,,,,,,,,,,,,,
ANTH 2501,instructor_consent,ANTH 1001 or cons. of instr.,,ANTH 1001 or cons. of instr,,,,,,,,,,,ANTH 1001 or cons. of instr.
ANTH 3100,,,,,,,,,,,,,,,
ANTH 3153,,ANTH 1001.,,,,,,,,,,,,,
ANTH 3250,,,,,,,,,,,,,,,
ANTH 3312,,,,,,,,,,,,,,,
ANTH 3330,,,,,,,,,,,,,,,
ANTH 3350,,,,,,,,,,,,,,,
ANTH 3360,,,,,,,,,,,,,,,
ANTH 3543,,,,,,,,,,,,,,,
ANTH 3546,,,,,,,,,,,,,,,
ANTH 3986,major_restriction;instructor_consent;standing_requirement,"Sr. stndg., ANTH major, and cons. of internship coordinator. Consent required.","Sr. stndg., ANTH major, and cons. of internship coordinator","Sr. stndg., ANTH major, and cons. of internship coordinator; Consent required",,,,"Sr. stndg., ANTH major, and cons. of internship coordinator",,,,,,,"Sr. stndg., ANTH major, and cons. of internship coordinator. Consent required."
ANTH 4144,,,,,,,,,,,,,,,
ANTH 4245,,,,,,,,,,,,,,,
ANTH 4247,,ANTH 1001 or ANTH 1201.,,,,,,,,,,,,,
ANTH 4251,,ANTH 2201.,,,,,,,,,,,,,
ANTH 4252,,,,,,,,,,,,,,,
