course_code,course_name,credits,level,active,notes,elective_pool_tag,description
COSC 1010,Introduction to Software Development,4,1000,True,"Marquette Core Curriculum: NSM Cgntn, Lang, Mmry/Intlgnc",,
MATH 1410,Calculus for the Biological Sciences,3,1000,True,Marquette Core Curriculum: NSM Basic Needs & Justice,,
MATH 1700,Modern Elementary Statistics,3,1000,True,"Marquette Core Curriculum: NSM Cgntn, Lang, Mmry/Intlgnc; Marquette Core Curriculum: NSM Crossing Boundaries",,
SPAN 3001,Advanced Communication in Spanish,3,3000,True,Marquette Core Curriculum: Engage Social Systms & Values 2; Marquette Core Curriculum: HUM Basic Needs & Justice,,
SPAN 3005,Advanced Communication in Spanish for Heritage Speakers,3,3000,True,Marquette Core Curriculum: HUM Individuals & Communities; Marquette Core Curriculum: Writing Intensive,,
ADPR 4750,Strategic Communication in a Culturally Diverse Marketplace,3,4000,True,,,
ADVE 3986,Internship in Advertising,3,3000,True,,,
ANTH 3100,Urban Anthropology,3,3000,True,,,
ANTH 3986,Internship in Anthropology,3,3000,True,,,
ANTH 4986,Advanced Internship in Anthropology,3,4000,True,,,
ARBC 3220,Arab and Muslim Women in the United States,3,3000,True,,,
ARBC 3800,Re-envision of Disability,3,3000,True,,,
ARSC 4953,Seminar in Urban Social Issues,3,4000,True,,,
BIOL 4987,Applying the Internship Experience 1,3,4000,True,,,
BISC 3929,Reflective Analysis of Global Dental Brigade,0,3000,True,S/U grade assessment.,,
BISC 4460,Practical Cases in Medicine,3,4000,True,,,
CCOM 4986,Corporate Communication Internship,1,4000,True,Catalog credits range: 1-3.,,
CHNS 3215,Chinese Cuisine and Culture,3,3000,True,,,
CMST 3120,Interpersonal Communication,3,3000,True,,,
CMST 4986,Internship in Communication Studies,3,4000,True,,,
CNEN 3860,Construction Materials and Methods,3,3000,True,,,
COMM 4986,Internship in Communication,3,4000,True,,,
CRLS 2540,"Surveillance, Law and Society",3,2000,True,,,
CRLS 3150,Reentry and Life After Incarceration,3,3000,True,,,
CRLS 3170,Policy and Practice for Children Impacted by Incarceration,3,3000,True,,,
CRLS 3986,Internship and Seminar in Criminology and Law Studies,0,3000,True,S/U grade assessment.,,
CRLS 4986,Advanced Internship and Seminar in Criminology and Law Studies,0,4000,True,S/U grade assessment.,,
DGMD 3986,Internship in Digital Media,3,3000,True,,,
