course_code,hard_prereq,concurrent_with,min_standing
CECP 8999,none,,0.0
CECP 9970,none,,0.0
CECP 9974,none,,0.0
CECP 9975,none,,0.0
CECP 9976,none,,0.0
CECP 9977,none,,0.0
CECP 9978,none,,0.0
CECP 9979,none,,0.0
CECP 9997,none,,0.0
CECP 9998,none,,0.0
CECP 9999,none,,0.0
CEEN 1200,none,,0.0
CEEN 1210,BIEN 1100;CEEN 1200;EECE 1200;GEEN 1200,,0.0
CEEN 2320,CEEN 1210,,0.0
CEEN 3160,none,,3.0
CEEN 3210,none,MEEN 3320,0.0
CEEN 3320,none,,2.0
CEEN 3410,GEEN 2130,,0.0
CEEN 3430,CEEN 3320;CEEN 3410,,0.0
CEEN 3440,CEEN 3410;CEEN 3320,,0.0
CEEN 3510,none,,3.0
CEEN 3610,none,,3.0
CEEN 4145,GEEN 2130,,0.0
CEEN 4230,CEEN 3510 or MEEN 3320,,0.0
CEEN 4310,none,,4.0
CEEN 4340,none,,4.0
CEEN 4350,none,,3.0
CEEN 4411,CEEN 3410,,0.0
CEEN 4431,CEEN 3430,,0.0
CEEN 4441,CEEN 3440,,0.0
CEEN 4443,CEEN 3440,,0.0
CEEN 4450,CEEN 3430;CEEN 3440,,0.0
CEEN 4505,none,,0.0
CEEN 4515,CEEN 3510;CHEM 1002,,0.0
CEEN 4520,CEEN 3510,,0.0
CEEN 4525,CEEN 3510,,0.0
CEEN 4530,none,,4.0
CEEN 4535,CEEN 3510,,0.0
CEEN 4550,none,,0.0
CEEN 4595,none,,0.0
CEEN 4615,CEEN 3610,,0.0
CEEN 4640,CEEN 3610,,0.0
CEEN 4650,CEEN 3160;CEEN 3610,,0.0
CEEN 4660,CEEN 3610,,0.0
CEEN 4670,CEEN 3320;CEEN 3160,,0.0
CEEN 4710,none,,4.0
CEEN 4715,none,,4.0
CEEN 4720,none,,4.0
CEEN 4850,CEEN 3440,,0.0
CEEN 4931,none,,0.0
CEEN 4953,none,,0.0
CEEN 4995,none,,3.0
CEEN 4998,CEEN 3510;CNEN 3810;CNEN 4830;CNEN 4845,,0.0
CEEN 5145,none,,0.0
CEEN 5230,none,,0.0
CEEN 5310,none,,0.0
CEEN 5340,none,,0.0
CEEN 5350,none,,0.0
CEEN 5411,none,,0.0
CEEN 5431,none,,0.0
CEEN 5441,none,,0.0
CEEN 5443,none,,0.0
CEEN 5450,none,,0.0
CEEN 5505,none,,0.0
CEEN 5515,none,,0.0
CEEN 5520,none,,0.0
CEEN 5525,none,,0.0
CEEN 5530,none,,0.0
CEEN 5535,none,,0.0
