course_code,Spring 2025,Summer 2025,Fall 2025
ENGL 3786,True,False,True
ENGL 3841,False,False,True
ENGL 3860,False,False,True
ENGL 4000,False,False,True
ENGL 4220,False,False,True
ENGL 4250,True,False,True
ENGL 4260,True,False,True
ENGL 4270,True,False,True
ENGL 4303,True,False,True
ENGL 4311,True,False,True
ENGL 4331,True,False,True
ENGL 4402,True,False,True
ENGL 4412,False,False,False
ENGL 4422,False,False,True
ENGL 4423,True,False,True
ENGL 4472,True,False,False
ENGL 4616,True,False,False
ENGL 4715,True,False,True
ENGL 4755,False,False,True
ENGL 4830,True,False,True
ENGL 4932,True,False,True
ENGL 4954,True,False,True
ENGL 4997,True,False,True
EXPH 4020,False,False,False
FILM 2600,True,False,True
FREN 4110,True,False,False
FREN 4270,False,False,False
FREN 4280,False,False,False
GEEN 2961,True,False,False
GRMN 3500,True,False,False
GRMN 3505,False,False,False
HIST 1301,True,False,True
HIST 3104,True,False,True
HIST 4210,True,False,True
HIST 4460,True,False,True
HIST 4955,True,False,True
INCG 4997,True,False,False
JOUR 4150,True,False,True
NURS 4000,True,False,False
PHIL 3505,True,False,True
PHIL 3610,True,False,False
PHIL 4540,True,False,True
PHIL 4954,False,False,False
POSC 3101,True,True,True
POSC 4217,False,True,True
PURE 3600,True,False,True
SOCI 3050,True,False,True
SPAN 3500,True,True,True
SPAN 3505,True,False,True
SPAN 4700,True,False,False
THAR 4600,True,False,False
THEO 3130,True,False,True
THEO 3280,False,False,False
THEO 3530,True,False,True
THEO 4210,True,False,True
THEO 4300,True,False,True
THEO 4460,True,False,False
